name,labels,city,coordinates,note,gmap,link,image,days,id,_country,_osm_link,_matched_by,_cluster_size,_cluster_osm_refs,_raw_tags,_possible_duplicate_of,_duplicate_distance_m
Unnamed chess feature (way/1279276038),chess board,Amsterdam,"52.3433275, 4.9003903","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, sport=chess.","https://www.google.com/maps?q=52.3433275,4.9003903",,,,,Nederland,https://www.openstreetmap.org/way/1279276038,tagged,1,way/1279276038,"{""leisure"": ""pitch"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1320064640),chess board,Amsterdam,"52.3398882, 4.8249416","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, lit=yes, sport=chess.","https://www.google.com/maps?q=52.3398882,4.8249416",,,,,Nederland,https://www.openstreetmap.org/way/1320064640,tagged,1,way/1320064640,"{""leisure"": ""pitch"", ""lit"": ""yes"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1344366998),chess board,Amsterdam,"52.3625143, 4.9232503","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, lit=yes, sport=chess.","https://www.google.com/maps?q=52.3625143,4.9232503",,,,,Nederland,https://www.openstreetmap.org/way/1344366998,tagged,1,way/1344366998,"{""leisure"": ""pitch"", ""lit"": ""yes"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1413229510),chess board,Amsterdam,"52.3506505, 4.9050804","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, sport=chess.","https://www.google.com/maps?q=52.3506505,4.9050804",,,,,Nederland,https://www.openstreetmap.org/way/1413229510,tagged,1,way/1413229510,"{""leisure"": ""pitch"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1462324092),chess board,Amsterdam,"52.3795161, 4.8594998","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, sport=chess.","https://www.google.com/maps?q=52.3795161,4.8594998",,,,,Nederland,https://www.openstreetmap.org/way/1462324092,tagged,1,way/1462324092,"{""leisure"": ""pitch"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1462627163),chess board,Amsterdam,"52.3731073, 4.8125461","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, sport=chess.","https://www.google.com/maps?q=52.3731073,4.8125461",,,,,Nederland,https://www.openstreetmap.org/way/1462627163,tagged,1,way/1462627163,"{""leisure"": ""pitch"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1463230157),chess board,Amsterdam,"52.380936, 4.8702508","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, sport=chess.","https://www.google.com/maps?q=52.380936,4.8702508",,,,,Nederland,https://www.openstreetmap.org/way/1463230157,tagged,1,way/1463230157,"{""leisure"": ""pitch"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1473481571),chess board,Amsterdam,"52.360198, 4.9445056","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, sport=chess.","https://www.google.com/maps?q=52.360198,4.9445056",,,,,Nederland,https://www.openstreetmap.org/way/1473481571,tagged,1,way/1473481571,"{""leisure"": ""pitch"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1478446486),chess board,Amsterdam,"52.3299613, 4.8784444","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, sport=chess.","https://www.google.com/maps?q=52.3299613,4.8784444",,,,,Nederland,https://www.openstreetmap.org/way/1478446486,tagged,1,way/1478446486,"{""leisure"": ""pitch"", ""sport"": ""chess""}",,
Unnamed chess feature (way/1483954952),chess board,Amsterdam,"52.3658566, 4.8552304","[DRAFT — confirm via photo/Street View before publishing] Found via OSM tagged match. Tags: leisure=pitch, sport=chess.","https://www.google.com/maps?q=52.3658566,4.8552304",,,,,Nederland,https://www.openstreetmap.org/way/1483954952,tagged,1,way/1483954952,"{""leisure"": ""pitch"", ""sport"": ""chess""}",,
